Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C5,C8",C_0805,C28233,3
10kΩ,"R10,R6,R8",R_0805,C17414,3
10nF,C9,C_0805,C1710,1
10uF,"C12,C13,C2",C_0805,C15850,3
1uF,"C10,C4",C_0805,C28323,2
200kΩ,R9,R_0805,C17539,1
22uF,C3,C_0805,C45783,1
300Ω,"R11,R12,R13,R14",R_0805,C17617,4
4.7kΩ,"R1,R2,R3,RPA0",R_0805,C17673,4
4.7uF,C11,C_0805,C1779,1
470pF,"C6,C7",C_0805,C1743,2
8.2kΩ,R7,R_0805,C17828,1
ATtiny816-S,U4,SOIC-20W_7.5x12.8mm_P1.27mm,C2054204,1
FUSB302BMPX,U1,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,C132291,1
HT7533,U2,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,C14289,1
LED,D5,LED_0805_2012Metric,C2297,1
LS2406ERQ23,U3,QFN16L_2P5X3P2-0P6_LTF,C5355481,1
Screw_Terminal_01x02,J2,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,C3703,1
"Tactile Button, 160gf",S1,SW_TS-1088-AR02016,C720477,1
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,C7507406,1
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D7,LED_0805_2012Metric,,1
LED,D8,LED_0805_2012Metric,,1
LED,D6,LED_0805_2012Metric,,1
