Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805,122.326,-67.106,-90.0,top
C10,1uF,C_0805,126.746,-60.452,-90.0,top
C11,4.7uF,C_0805,124.206,-60.452,-90.0,top
C12,10uF,C_0805,111.4,-58.15,90.0,top
C13,10uF,C_0805,111.704,-62.804,90.0,top
C2,10uF,C_0805,116.278501,-58.166,90.0,top
C3,22uF,C_0805,119.126,-67.056,-90.0,top
C4,1uF,C_0805,110.81,-66.04,0.0,top
C5,100nF,C_0805,110.81,-68.58,180.0,top
C6,470pF,C_0805,108.392,-58.674,0.0,top
C7,470pF,C_0805,108.392,-56.388,0.0,top
C8,100nF,C_0805,113.8,-58.166,90.0,top
C9,10nF,C_0805,123.872,-55.266,90.0,top
D5,LED,LED_0805_2012Metric,98.044,-67.644,0.0,top
D6,LED,LED_0805_2012Metric,98.044,-70.144,0.0,top
D7,LED,LED_0805_2012Metric,98.044,-72.644,0.0,top
D8,LED,LED_0805_2012Metric,98.044,-75.144,0.0,top
J1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,99.398,-60.198,-90.0,top
J2,Screw_Terminal_01x02,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,128.6455,-68.58,90.0,top
J3,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,130.81,-79.248,180.0,top
R1,4.7kΩ,R_0805,126.59,-82.25,0.0,top
R10,10kΩ,R_0805,107.442,-79.502,90.0,top
R11,300Ω,R_0805,104.394,-67.604,0.0,top
R12,300Ω,R_0805,104.394,-70.104,0.0,top
R13,300Ω,R_0805,104.394,-72.604,0.0,top
R14,300Ω,R_0805,104.394,-75.104,0.0,top
R2,4.7kΩ,R_0805,110.236,-81.428,90.0,top
R3,4.7kΩ,R_0805,126.59,-80.0,0.0,top
R6,10kΩ,R_0805,119.628501,-63.0198,0.0,top
R7,8.2kΩ,R_0805,121.282,-55.266,90.0,top
R8,10kΩ,R_0805,126.598,-77.978,180.0,top
R9,200kΩ,R_0805,118.872,-55.266,90.0,top
RPA0,4.7kΩ,R_0805,126.598,-75.819,180.0,top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,101.5,-78.5,180.0,top
U1,FUSB302BMPX,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,116.066,-66.0475,0.0,top
U2,HT7533,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,105.337646,-62.865,0.0,top
U3,LS2406ERQ23,QFN16L_2P5X3P2-0P6_LTF,120.4825,-59.9718,90.0,top
U4,ATtiny816-S,SOIC-20W_7.5x12.8mm_P1.27mm,117.68,-76.581,0.0,top
